0.795935	1.000000	0.499193	0.362800	0.277592	0.393915	0.606288	0.000000	0.000111	0.576591
0.818119	0.000006	0.496088	0.000202	0.033445	0.229328	0.731846	0.000009	0.025338	0.441560
0.105735	0.477404	0.999487	0.002823	0.026756	0.016447	0.983667	0.000119	0.004943	0.143772
0.811151	0.999999	0.500991	0.371642	0.341137	0.389618	0.610442	0.000000	0.000073	0.574173
0.750507	0.508662	0.999500	0.000148	0.010033	0.352682	0.601801	0.000004	0.041158	0.490704
0.903479	0.006555	0.428418	0.000070	0.023411	0.587173	0.323046	0.000005	0.078860	0.701347
0.047366	0.474448	0.000655	0.002061	0.023411	0.022822	0.977338	0.000164	0.005049	0.145104
0.217990	0.506442	0.507382	0.001356	0.030100	0.248916	0.747360	0.000001	0.999807	0.554497
0.063879	0.521771	0.999518	0.002330	0.026756	0.021335	0.978815	0.000167	0.004084	0.138958
0.743618	0.856008	0.851053	0.043004	0.133779	0.396750	0.599365	0.000000	0.003280	0.735789
0.542950	0.851107	0.144042	0.226639	0.351171	0.366540	0.633739	0.000000	0.000174	0.535661
0.218400	0.498616	0.499653	0.014599	0.163880	0.725634	0.278769	0.000003	0.999997	0.844361
0.424714	0.777041	0.916204	0.012197	0.070234	0.040249	0.954556	0.000002	0.002248	0.232900
0.577128	0.811995	0.109310	0.017525	0.060201	0.046224	0.947760	0.000001	0.001511	0.223926
0.178440	0.810216	0.892103	0.006164	0.043478	0.084582	0.909745	0.000003	0.002859	0.284090
0.398657	0.851891	0.144817	0.422589	0.632107	0.524520	0.477965	0.000001	0.000656	0.598010
0.497241	0.850010	0.857036	0.222621	0.290970	0.378197	0.623119	0.000000	0.001301	0.568062
0.300661	0.686188	0.964015	0.000007	0.000000	0.360325	0.562202	0.000008	0.004072	0.556384
0.419364	0.235443	0.924356	0.011611	0.060201	0.048401	0.946073	0.000002	0.001590	0.226564
0.506992	0.806271	0.895192	0.015962	0.066890	0.046423	0.948008	0.000002	0.002158	0.208498
